INFO:root: 2019-01-14 15:37:17 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:37:17 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:37:51 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 15:37:51 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:37:51 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:41:37 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 15:41:37 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:41:38 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:42:56 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 15:42:56 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:42:56 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:46:23 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 15:46:23 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:46:39 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 15:46:39 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:46:39 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:46:46 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 15:46:46 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:46:47 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:51:44 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 15:51:44 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:51:44 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:52:12 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 15:52:12 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:52:12 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:53:49 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 15:53:49 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:53:50 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 16:07:53 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 16:07:53 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 16:07:54 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

